Wavelength (nm),Counts
335.61,1554.0
335.959910675,1551.0
336.3098827,1545.0
336.659916075,1539.0
337.01001080000003,1540.0
337.360166875,1540.0
337.7103843,1550.0
338.06066307500004,1545.0
338.41100320000004,1547.0
338.761404675,1547.0
339.1118675,1540.0
339.462391675,1535.0
339.81297720000003,1541.0
340.16362407500003,0.0
340.51433230000004,-2.0
340.865101875,-6.0
341.2159328,-11.0
341.566825075,-7.0
341.91777870000004,-7.0
342.26879367500004,2.0
342.61987,3.0
342.971007675,2.0
343.32220670000004,5.0
343.673467075,7.0
344.0247888,2.0
344.376171875,6.0
344.7276163,10.0
345.079122075,7.0
345.4306892,10.0
345.782317675,3.0
346.1340075,-5.0
346.485758675,-7.0
346.8375712,-8.0
347.18944507500004,-14.0
347.5413803,-23.0
347.893376875,-20.0
348.2454348,-5.0
348.597554075,-9.0
348.9497347,3.0
349.301976675,14.0
349.65428,25.0
350.006644675,27.0
350.3590707,20.0
350.711558075,9.0
351.0641068,-4.0
351.416716875,5.0
351.7693883,2.0
352.122121075,6.0
352.4749152,14.0
352.827770675,11.0
353.18068750000003,23.0
353.533665675,24.0
353.8867052,4.0
354.239806075,12.0
354.5929683,9.0
354.946191875,12.0
355.29947680000004,15.0
355.652823075,5.0
356.0062307,18.0
356.359699675,20.0
356.71323,26.0
357.066821675,20.0
357.4204747,7.0
357.77418907500004,12.0
358.12796480000003,-2.0
358.48180187500003,2.0
358.83570030000004,0.0
359.189660075,-1.0
359.54368120000004,11.0
359.897763675,9.0
360.2519075,2.0
360.606112675,-2.0
360.96037920000003,9.0
361.314707075,-5.0
361.66909630000004,-9.0
362.023546875,3.0
362.3780588,-4.0
362.732632075,3.0
363.08726670000004,10.0
363.441962675,8.0
363.79672,7.0
364.15153867500004,7.0
364.50641870000004,10.0
364.861360075,-1.0
365.2163628,-1.0
365.57142687500004,-4.0
365.9265523,-6.0
366.281739075,-3.0
366.6369872,-6.0
366.99229667500003,2.0
367.3476675,6.0
367.70309967500003,9.0
368.0585932,3.0
368.414148075,-1.0
368.7697643,-7.0
369.12544187500004,-18.0
369.4811808,-14.0
369.83698107500004,-13.0
370.1928427,-4.0
370.548765675,0.0
370.90475000000004,7.0
371.260795675,4.0
371.6169027,-4.0
371.973071075,2.0
372.3293008,9.0
372.685591875,12.0
373.0419443,7.0
373.39835807500003,4.0
373.7548332,-6.0
374.111369675,8.0
374.4679675,12.0
374.824626675,11.0
375.1813472,7.0
375.53812907500003,-4.0
375.8949723,8.0
376.251876875,25.0
376.60884280000005,24.0
376.965870075,12.0
377.3229587,11.0
377.68010867500004,-1.0
378.03732,1.0
378.394592675,1.0
378.7519267,11.0
379.109322075,9.0
379.46677880000004,17.0
379.824296875,16.0
380.1818763,11.0
380.53951707500005,8.0
380.8972192,2.0
381.254982675,-8.0
381.61280750000003,-3.0
381.970693675,14.0
382.3286412,14.0
382.686650075,19.0
383.0447203,17.0
383.402851875,6.0
383.76104480000004,8.0
384.119299075,-2.0
384.4776147,-12.0
384.835991675,-16.0
385.19443,-14.0
385.55292967500003,-19.0
385.9114907,-15.0
386.27011307500004,-21.0
386.62879680000003,-11.0
386.98754187500003,-25.0
387.34634830000005,-19.0
387.705216075,4.0
388.0641452,14.0
388.423135675,23.0
388.7821875,27.0
389.141300675,18.0
389.50047520000004,21.0
389.859711075,28.0
390.21900830000004,36.0
390.57836687500003,34.0
390.9377868,32.0
391.29726807500003,26.0
391.6568107,12.0
392.016414675,6.0
392.37608,7.0
392.735806675,12.0
393.0955947,10.0
393.455444075,9.0
393.8153548,-2.0
394.175326875,-7.0
394.53536030000004,5.0
394.89545507500003,13.0
395.25561120000003,12.0
395.615828675,-1.0
395.9761075,0.0
396.33644767500004,5.0
396.69684920000003,9.0
397.057312075,17.0
397.41783630000003,13.0
397.77842187500005,7.0
398.1390688,4.0
398.499777075,9.0
398.8605467,0.0
399.221377675,12.0
399.58227,-5.0
399.943223675,-6.0
400.30423870000004,-15.0
400.665315075,-12.0
401.0264528,-3.0
401.387651875,4.0
401.74891230000003,10.0
402.110234075,5.0
402.4716172,5.0
402.833061675,-2.0
403.1945675,-8.0
403.556134675,-2.0
403.9177632,2.0
404.279453075,8.0
404.6412043,18.0
405.003016875,14.0
405.3648908,19.0
405.726826075,16.0
406.08882270000004,29.0
406.450880675,27.0
406.813,14.0
407.175180675,5.0
407.53742270000004,4.0
407.899726075,9.0
408.2620908,7.0
408.62451687500004,17.0
408.9870043,23.0
409.349553075,20.0
409.7121632,19.0
410.07483467500003,14.0
410.4375675,4.0
410.80036167500003,-1.0
411.1632172,4.0
411.526134075,21.0
411.8891123,22.0
412.25215187500004,20.0
412.6152528,21.0
