wavenumber,theta
0.9374296927726391,5.0
40.493396461501106,6.5
47.165112137778124,6.5
53.67477752193736,6.5
60.33238791859549,6.5
66.82829789879361,6.5
73.31742717963971,6.5
79.95404582996889,6.5
86.42948471268937,7.0
93.05210918114062,7.0
99.5139009449158,7.0
106.1225754477291,7.5
112.57076318951476,7.5
119.16553175684021,8.0
125.60015839231892,8.0
132.18106486920988,8.0
138.6021731337387,8.0
145.01661745264937,8.5
151.57689363068494,8.5
157.97788309636599,8.5
164.52440573846252,8.5
170.91198264064406,8.5
177.44479495268024,8.5
183.9706878502384,11.0
190.33814641111894,11.0
196.8503937007863,11.0
203.20454489560143,11.0
209.7031893320218,11.0
216.04407483386058,11.0
222.52915899324762,11.0
228.85682030137832,11.5
235.32838658244873,11.5
241.79313050086967,11.5
248.10095564812582,12.0
254.55224520284537,12.0
260.8469493911016,12.0
267.28482654009895,12.0
273.71593451602166,12.0
279.99095719330944,12.0
286.40871561873973,12.0
292.6707194999872,12.5
299.07516989787837,12.5
305.4729037607922,12.5
311.7153791775345,16.5
318.0998672172882,16.5
324.47767009204836,16.5
330.7007082532182,16.5
337.0653271221272,13.5
343.42329200097265,13.5
349.6269835483945,13.5
355.97182585463634,17.0
362.31004515220593,17.5
368.4944801649872,17.5
374.81963794211515,17.5
381.138203499926,18.0
387.45018713889476,18.0
393.609036210215,18.0
399.90803930109905,18.0
406.20049100825963,18.0
412.48640154720124,18.0
418.61982312859436,18.5
424.8928334238972,18.5
431.15933283448794,18.5
437.4193314917793,18.5
443.5274827291032,18.5
449.77466078615726,18.5
456.0153681243901,18.5
462.2496147919883,19.0
468.33265153885077,19.0
474.5541565953572,19.0
480.7692307692305,19.0
486.9778840262843,19.0
493.18012631174497,19.0
499.37596755031154,19.0
505.42154945964467,19.0
511.60476658594416,19.0
517.7816120876632,19.0
523.9520958083831,24.5
530.1162275714287,24.5
536.2740171799105,24.5
542.4254744167683,24.5
548.4277706732319,24.5
554.5667391356274,21.0
560.6994042289007,21.0
566.8257756563253,21.0
572.9458631012712,21.0
579.0596762272617,21.0
585.1672246780017,21.5
591.2685180774552,21.5
597.3635660298751,21.5
603.4523781198695,21.5
609.5349639124379,21.5
615.6113329530344,21.5
621.6814947676012,21.5
627.6045067613286,35.0
639.7141671114277,26.0
645.7597382583754,26.0
651.7991492991787,26.0
657.832409644263,26.0
663.8595286848868,26.0
669.8805157932093,26.0
675.8953803223249,26.0
681.9041316063158,26.0
687.9067789602996,26.0
693.9033316804798,26.0
699.8937990441918,22.5
706.0172899786521,22.5
711.995473406263,22.5
818.7122548389743,31.0
824.7130798239359,31.0
830.5715686045696,31.0
836.424180925389,31.0
842.2709256236885,31.0
848.1118115190566,31.0
854.0824763879009,31.0
859.9115353276684,29.5
865.734762021104,29.5
871.5521652169882,29.5
877.3637536466013,30.0
883.3044852061394,30.0
889.1043355084403,30.0
894.8983973354698,30.0
900.6866793485824,30.0
906.6035985902417,30.0
912.3802129804517,30.0
918.1510736373948,30.0
923.9161891532094,29.0
929.8094389614598,29.0
935.5629567952637,29.0
941.3107553603422,29.0
947.0528431802959,29.0
952.9225652987225,29.0
958.6531248196679,29.0
964.3779992617201,29.0
970.230134206522,29.0
975.9435321233068,29.0
981.6512704738634,29.0
987.4858971702233,29.0
993.1822104596977,18.0
998.8728895431759,17.5
1004.6900864447307,17.5
1010.3693916240591,17.5
1016.0430878063344,17.5
1021.8429328986949,17.5
1027.5053060287955,17.5
1033.2935820844177,17.5
1038.9446660248468,26.0
1044.5901827137877,26.0
1050.361236103001,25.0
1055.9955139502417,25.0
1061.7550842998644,25.0
1067.3781568327067,25.0
1072.9957034463841,25.0
1078.7381789940137,18.0
1084.3445701434957,18.5
1090.0756477984542,18.5
1095.670916679972,18.5
1101.3906303430977,18.5
1106.9748100213055,18.5
1112.6831934591246,18.5
1118.2563168677443,18.5
1123.9534037131416,18.5
1129.5155036556116,18.5
1135.2013274084838,18.0
1140.7524365586032,18.0
1146.4270305865248,18.0
1151.9671814890899,18.0
1157.6305790279584,18.0
1163.1598040994013,18.0
1185.4789436763149,35.0
1191.1089498563779,33.5
1196.6055906588754,33.5
1202.224531989652,33.5
1207.7103753557058,33.5
1213.3182844243784,33.5
1218.9206263255273,33.5
1224.3902714039268,33.5
1229.9816298700553,33.5
1235.4405569198188,33.5
1241.0209642189639,33.5
1246.595845243186,33.5
1252.0386929868964,34.0
1257.6026711936047,34.0
1263.1611475059835,34.0
1268.58798688171,34.0
1274.1356084418494,34.0
1290.619990808309,21.0
1296.1458741807182,21.0
1301.5409079710626,21.0
1307.0560318775042,21.5
1312.565726176359,21.5
1317.9449619251027,20.0
1323.4439439831021,20.0
1328.9375202475494,20.0
1334.3010272443062,20.0
1339.7839382170441,20.0
1345.2614670712119,20.0
1350.7336217276898,20.0
1356.076224438626,20.0
1361.5377760946321,20.0
1366.9939770437413,19.5
1372.4448351452702,19.5
1377.766655544434,19.5
1383.2069724525863,22.0
1388.6419698215523,22.0
1394.0716554496794,22.0
1399.3728145640234,22.0
1404.7920203264202,22.0
1410.205937475741,22.0
1415.6145737499573,22.0
1421.01793687196,22.0
1426.293408929836,22.0
1431.686368264931,22.0
1437.0740773519774,22.0
1442.4565438542177,22.0
1447.833775419982,21.5
1453.2057796827357,20.5
1458.572564261107,20.5
1463.8123406650411,20.5
1469.168826871104,20.5
1511.7135133947213,22.5
1517.0236133992312,22.5
1522.3285836608338,22.5
1527.6284316092078,22.5
1532.9231646596927,22.5
1538.212790213316,22.5
1543.497315656843,22.5
1548.7767483627922,22.5
1554.051095689485,22.5
1559.320364981073,22.5
1564.5845635675705,22.5
1569.843698764893,24.5
1575.0977778748893,24.5
1580.3468081853716,24.5
1585.5907969701602,24.5
1590.829751489102,24.5
1596.0636789881155,24.5
1601.2925866992173,24.5
1606.5164818405628,24.5
1611.7353716164707,24.5
1616.949263217466,24.5
1622.158163820297,24.5
1627.3620805879928,24.5
1632.5610206698675,23.5
1637.754991201582,23.5
1642.9439993051474,23.5
1648.128052088985,23.5
1668.93216502215,26.5
1674.0914356237354,26.5
1679.2457934318027,26.5
1684.3952454601495,26.5
1689.539798709231,26.5
1694.679460166186,24.5
1699.930879557629,24.5
1705.060667559048,24.5
1710.1855848079413,24.5
1715.3056382382129,24.5
1720.4208347706099,24.5
1725.531181312761,24.5
1730.7526626964045,24.5
1735.8532200945083,28.5
1740.948948302761,28.5
1746.0398541763007,29.0
1751.1259445573087,29.0
1756.207226275019,29.0
1761.3990249350318,29.0
1766.4706008629746,29.0
1771.5373886922007,26.5
1776.5993952002063,26.5
1781.7715088050245,26.5
1786.823864671158,26.5
1791.871459625001,26.5
1796.914300392802,26.5
1802.0668406863788,26.5
1807.1000855431994,26.5
1812.1285964687268,28.5
1817.15238013845,28.5
1822.2854580205658,28.5
1827.2997000971227,29.0
1832.309235019895,29.0
1837.4277610730805,29.0
1842.4277949483094,29.0
1847.4231416579678,29.0
1852.5271776743793,29.0
1857.5130636527138,29.0
1862.4942823406782,29.0
1867.5838897631093,29.0
1872.555687808197,29.0
1877.5228383258982,29.0
1882.598078250252,29.0
1887.555847987349,29.0
1892.5089898486312,29.0
1897.5699230263563,29.0
1902.513723744727,29.0
1907.5651169934445,29.0
1912.4996029687354,29.0
1917.4294936240021,29.0
1922.466680770045,29.0
1927.3872959485743,29.0
1932.4150101977193,29.0
1937.326376052306,31.5
1942.2331788380125,31.5
1947.2467866866464,32.5
1952.1443790477388,32.5
1957.1485804050571,32.5
1962.036988250171,32.5
1967.031809563934,31.5
1971.9110587046234,31.5
1976.8965263235423,45.0
1981.7666424747295,45.0
1986.7427826489202,45.0
1991.603791429352,45.0
1996.5706303107963,31.5
2001.4225572434934,31.5
2006.3801208865007,31.5
2011.2229913992032,31.5
2016.171305760865,31.5
2021.0051451864729,31.5
2025.944236127114,31.5
2030.7690697041398,31.5
2035.698962987768,33.5
2040.5148158607644,39.0
2045.4355371555212,39.0
2050.242434375523,39.0
2055.1540092541327,39.0
2060.0609692439393,39.0
2064.854429719295,39.0
2069.7522816166893,39.0
2074.5368487995092,41.0
2079.42561794006,41.0
2084.3098042891816,42.5
2089.081028182358,42.5
2093.9561697433874,42.5
2098.7185621268527,44.0
2103.5846840009563,44.0
2108.446254884031,44.0
2113.1953965682005,44.0
2118.0479853822126,44.0
2122.8960421725496,44.0
2127.6319883829474,44.0
2132.471100513192,44.0
2137.3056994818653,44.0
2142.028505137554,40.0
2146.8541966476514,40.0
2151.6753937537524,40.0
2156.4921027317196,41.0
2161.197440112486,41.0
2166.005291005291,41.0
2170.808672389039,41.0
2175.5009963141547,38.5
2180.295556335266,38.5
2185.085665363549,38.5
2189.8713295941925,45.0
2194.5463539305,43.0
2199.323245537231,43.0
2204.095710726273,43.0
2208.863755647262,43.0
2213.521575888495,44.0
2218.280896565906,45.0
2223.0358152201843,45.0
2227.7863379558294,45.0
2232.532470866061,45.0
2237.168895411489,45.0
2241.9063641212924,45.0
2246.6394610833704,44.0
2251.3681923463228,44.0
2256.0925639475936,44.0
2260.8125819134984,44.0
2265.4235067752907,44.0
2270.1349319202473,44.0
2274.8420213092286,44.0
2279.5447809245416,44.0
2284.2432167374955,44.0
2288.937334708424,44.0
2293.627140786706,44.0
2298.208565424089,44.0
2302.8898610133892,44.0
2307.5668623613838,44.0
2312.2395753741457,44.0
2316.908005946925,44.0
2321.572159964173,44.0
2326.2320432995566,44.0
2330.8876618159993,44.0
2335.5390213656974,44.0
2340.186127790139,44.0
2344.82898692014,44.0
2349.467604575859,44.0
2354.1019865668313,44.0
2358.7321386919793,43.5
2363.358066739651,43.5
2367.8771176136834,43.0
2372.4947083784846,43.0
2377.1080922397905,42.0
2381.717274944096,42.0
2386.322262227437,42.0
2390.923059815408,42.0
2395.519673423196,42.0
2400.2141154607525,42.0
2404.8022855527634,42.0
2409.3862888740896,42.0
2413.9661310982683,42.0
2418.5418178885393,43.0
2423.1133548978705,43.0
2427.6807477689817,43.0
2432.2440021343646,43.5
2436.8031236163115,43.5
2441.3581178269305,43.5
2445.9089903681815,43.5
2450.4557468318817,43.5
2454.998392799742,43.5
2459.5369338433884,43.5
2464.071375524376,44.0
2468.702351336169,44.0
2473.2285201487975,44.0
2477.750606346088,43.5
2482.268615449346,43.5
2486.7825529699203,43.5
2491.2924244092355,43.5
2495.7982352588097,43.5
2500.39998400064,43.5
2504.8976001759147,43.5
2509.391172298041,42.0
2513.8807058189122,42.0
2518.366206180628,44.0
2522.8476788155112,42.0
2527.424582398404,43.5
2531.8979266347687,43.5
2536.3672595028147,43.5
2540.832586395778,43.5
2545.293912697227,43.5
2549.850250246267,43.5
2554.303502874307,43.5
2558.752771122665,43.5
2563.198060336261,43.5
2567.7380266581913,43.5
2572.1752856731564,43.5
2576.6085817488984,44.0
2581.0379201920314,44.0
2585.5616033629776,43.5
2589.982954770683,44.0
2594.4003645260655,44.0
2598.9118704145585,44.0
2603.3213253632093,43.5
2607.726854553908,41.0
2612.1284632270053,41.0
2616.623838703301,43.0
2621.017535193874,43.0
2625.407326947763,43.0
2629.890639188281,44.0
2634.2725505865183,44.0
2638.6505729444016,45.0
2643.121870441193,44.0
2647.4920440998267,44.0
2651.9553292693727,44.0
2656.3176753159823,44.0
2660.6761583343996,44.0
2665.127509121843,43.5
2669.4781959026386,43.5
2673.825035128577,44.0
2678.2644993370322,44.0
2682.6035735323003,44.0
2687.0351107883725,44.0
2691.3664407411397,44.0
2695.7900722570266,44.0
2700.1136786813277,44.0
2704.433473409934,44.0
2708.8453291296646,44.0
2713.1574311495624,44.0
2717.561433714196,44.0
2721.865863555917,44.0
2726.2620339148707,44.0
2730.5588120359516,44.0
2734.9471710641956,44.0
2739.236317849509,43.5
2743.6168863478943,44.0
2747.8984221099654,44.0
2752.2712208055527,44.0
2756.5451657848826,44.0
2760.9102153312742,44.0
2765.1765896966626,42.5
2769.5339106743213,42.5
2773.792734523173,42.5
2778.142347439747,43.5
2782.3936407983983,43.5
2786.7355660890516,43.5
2790.9793489130752,43.5
2795.313606940792,43.5
2799.6439969346884,43.5
2803.8765101712324,43.5
2808.199263423143,43.5
2812.4243158149675,43.5
2816.739452508449,44.0
2821.050746730936,43.5
2825.2646040130785,43.5
2829.5683119294445,43.5
2833.7747576194015,43.5
2838.0708992357413,41.0
2842.363223719156,44.0
2846.558548122406,43.5
2850.843336292408,43.0
2855.124322447484,44.0
2859.308569610612,44.0
2863.5820492806415,44.0
2867.851741974013,42.0
2872.0249557113166,42.0
2876.2871715907986,43.5
2880.545615452691,43.5
2884.7078393476986,43.5
2888.9588359106947,43.5
2893.2060753364785,43.0
2897.3573527434764,43.0
2901.597174230208,43.0
2905.833253381943,42.0
2910.065595151329,43.0
2914.2023178458803,42.0
2918.4272806538465,42.0
2922.6485207780643,42.0
2926.8660431365406,42.5
2930.9882875296644,43.0
2935.198469631756,43.0
2939.404948563999,43.0
2943.607729210069,42.0
2947.806816445056,42.5
2951.9110500033403,42.5
2956.1028450357408,42.5
2960.2909611256855,42.5
2964.475403114302,42.5
2968.6561758342323,42.5
2972.7425163392454,44.0
2976.916044491847,44.0
2981.0859177185066,45.0
2985.2521408182674,45.0
2989.414718581782,44.0
2993.573655791315,45.0
2997.6386632078065,44.0
