wavenumber,theta
0.9374296927726391,8.0
7.651563417406578,8.0
14.20259454870029,8.0
20.746758513971145,8.0
27.43963280782191,8.0
33.96993193547496,9.5
40.493396461501106,9.5
47.165112137778124,9.5
53.67477752193736,9.5
60.33238791859549,9.5
66.82829789879361,9.5
73.31742717963971,5.5
79.95404582996889,5.5
86.42948471268937,5.5
93.05210918114062,6.0
99.5139009449158,6.0
106.1225754477291,6.0
112.57076318951476,6.0
119.16553175684021,6.0
125.60015839231892,6.0
132.18106486920988,6.0
138.6021731337387,7.0
145.01661745264937,7.0
151.57689363068494,7.0
157.97788309636599,7.0
164.52440573846252,7.0
170.91198264064406,7.5
177.44479495268024,7.5
183.9706878502384,8.0
190.33814641111894,8.0
196.8503937007863,8.0
203.20454489560143,8.0
209.7031893320218,8.0
216.04407483386058,8.0
222.52915899324762,8.0
228.85682030137832,8.5
235.32838658244873,8.5
241.79313050086967,8.5
248.10095564812582,8.5
254.55224520284537,8.5
260.8469493911016,9.0
267.28482654009895,9.0
273.71593451602166,9.5
279.99095719330944,9.5
286.40871561873973,9.5
292.6707194999872,9.5
299.07516989787837,9.5
305.4729037607922,9.5
311.7153791775345,9.5
318.0998672172882,10.0
324.47767009204836,10.0
330.7007082532182,10.5
337.0653271221272,10.5
343.42329200097265,10.5
349.6269835483945,10.5
355.97182585463634,10.5
362.31004515220593,10.5
368.4944801649872,10.5
374.81963794211515,11.0
381.138203499926,11.0
387.45018713889476,11.0
393.609036210215,11.0
399.90803930109905,11.5
406.20049100825963,11.5
412.48640154720124,11.5
418.61982312859436,11.5
424.8928334238972,11.5
431.15933283448794,11.5
437.4193314917793,11.5
443.5274827291032,11.5
449.77466078615726,12.0
456.0153681243901,12.0
462.2496147919883,12.0
468.33265153885077,12.0
474.5541565953572,12.5
480.7692307692305,12.5
486.9778840262843,12.5
493.18012631174497,12.5
499.37596755031154,12.5
505.42154945964467,13.0
511.60476658594416,13.0
517.7816120876632,13.0
523.9520958083831,13.0
530.1162275714287,13.0
536.2740171799105,13.0
542.4254744167683,13.0
548.4277706732319,13.0
554.5667391356274,13.0
560.6994042289007,13.0
566.8257756563253,13.5
572.9458631012712,13.5
579.0596762272617,13.5
585.1672246780017,13.5
591.2685180774552,14.5
597.3635660298751,14.5
603.4523781198695,14.5
609.5349639124379,14.5
615.6113329530344,14.5
621.6814947676012,14.5
627.6045067613286,15.0
633.6624264287075,15.0
639.7141671114277,15.0
645.7597382583754,15.0
651.7991492991787,15.0
657.832409644263,15.0
663.8595286848868,15.0
669.8805157932093,15.0
675.8953803223249,15.0
681.9041316063158,15.0
687.9067789602996,15.0
693.9033316804798,15.0
699.8937990441918,15.0
706.0172899786521,15.5
711.995473406263,15.5
717.9675994108984,15.5
723.933677194469,15.5
729.8937159402558,15.5
735.8477248129493,15.5
741.7957129587176,15.5
747.7376895052294,15.5
753.6736635617217,15.5
759.6036442190289,15.5
765.5276405496443,15.5
771.4456616077496,15.5
777.3577164292819,15.5
783.4010943303383,16.5
789.3011054899744,16.5
795.1951776204132,16.5
801.0833196845961,16.5
806.9655406274487,16.5
812.8418493759054,16.5
818.7122548389743,16.5
824.7130798239359,16.5
830.5715686045696,16.5
836.424180925389,16.5
842.2709256236885,16.5
848.1118115190566,16.5
854.0824763879009,16.5
859.9115353276684,16.5
865.734762021104,16.5
871.5521652169882,16.5
877.3637536466013,16.5
883.3044852061394,16.5
889.1043355084403,16.5
894.8983973354698,17.0
900.6866793485824,17.0
906.6035985902417,17.0
912.3802129804517,17.0
918.1510736373948,17.5
923.9161891532094,17.5
929.8094389614598,17.5
935.5629567952637,18.0
941.3107553603422,18.0
947.0528431802959,18.0
952.9225652987225,18.0
958.6531248196679,18.0
964.3779992617201,18.0
970.230134206522,18.0
975.9435321233068,18.0
981.6512704738634,18.0
987.4858971702233,18.0
993.1822104596977,18.0
998.8728895431759,18.0
1004.6900864447307,18.0
1010.3693916240591,18.0
1016.0430878063344,19.0
1021.8429328986949,19.0
1027.5053060287955,20.0
1033.2935820844177,20.0
1038.9446660248468,20.0
1044.5901827137877,20.0
1050.361236103001,20.0
1055.9955139502417,20.0
1061.7550842998644,20.0
1067.3781568327067,20.0
1072.9957034463841,20.0
1078.7381789940137,20.0
1084.3445701434957,20.0
1090.0756477984542,21.0
1095.670916679972,21.0
1101.3906303430977,21.0
1106.9748100213055,21.0
1112.6831934591246,21.0
1118.2563168677443,21.0
1123.9534037131416,21.0
1129.5155036556116,21.0
1135.2013274084838,21.0
1140.7524365586032,21.0
1146.4270305865248,21.5
1151.9671814890899,21.5
1157.6305790279584,21.5
1163.1598040994013,21.5
1168.812038254091,25.5
1174.3303697831143,25.5
1179.9714735281123,25.5
1185.4789436763149,23.5
1191.1089498563779,25.5
1196.6055906588754,23.5
1202.224531989652,25.5
1207.7103753557058,23.5
1213.3182844243784,23.5
1218.9206263255273,23.5
1224.3902714039268,23.5
1229.9816298700553,23.5
1235.4405569198188,23.5
1241.0209642189639,23.5
1246.595845243186,23.5
1252.0386929868964,23.5
1257.6026711936047,23.5
1263.1611475059835,23.5
1268.58798688171,25.5
1274.1356084418494,35.0
1279.6777523450473,36.0
1285.0886538741906,36.0
1290.619990808309,36.0
1296.1458741807182,36.0
1301.5409079710626,36.0
1307.0560318775042,36.0
1312.565726176359,36.0
1317.9449619251027,36.0
1323.4439439831021,37.0
1328.9375202475494,37.0
1334.3010272443062,37.0
1339.7839382170441,27.0
1345.2614670712119,27.0
1350.7336217276898,27.0
1356.076224438626,27.0
1361.5377760946321,27.0
1366.9939770437413,27.0
1372.4448351452702,27.0
1377.766655544434,27.0
1383.2069724525863,27.0
1388.6419698215523,27.0
1394.0716554496794,27.0
1399.3728145640234,27.0
1404.7920203264202,27.0
1410.205937475741,27.0
1415.6145737499573,27.0
1421.01793687196,27.5
1426.293408929836,27.5
1431.686368264931,27.5
1437.0740773519774,27.5
1442.4565438542177,27.5
1447.833775419982,27.5
