wavenumber,theta
305.4729037607922,11.5
318.0998672172882,12.0
337.0653271221272,12.5
349.6269835483945,13.0
381.138203499926,13.5
393.609036210215,14.0
431.15933283448794,14.5
437.4193314917793,17.0
456.0153681243901,17.5
480.7692307692305,18.0
511.60476658594416,18.5
523.9520958083831,19.0
554.5667391356274,19.5
585.1672246780017,20.0
597.3635660298751,20.5
633.6624264287075,21.0
645.7597382583754,21.5
669.8805157932093,22.0
687.9067789602996,22.5
729.8937159402558,23.0
735.8477248129493,23.5
759.6036442190289,24.0
824.7130798239359,24.5
830.5715686045696,25.0
865.734762021104,25.5
894.8983973354698,26.0
941.3107553603422,26.5
958.6531248196679,27.0
998.8728895431759,27.5
1218.9206263255273,27.5
1268.58798688171,28.0
1312.565726176359,29.0
1328.9375202475494,30.0
1377.766655544434,31.5
1421.01793687196,32.5
1442.4565438542177,33.5
1463.8123406650411,39.5
1479.8662155758557,41.0
0.0,11.5
75.0,11.5
150.0,11.5
225.0,11.5
300.0,11.5
1579.8662155758557,41.5
1679.8662155758557,41.5
1779.8662155758557,41.5
1879.8662155758557,41.5
1979.8662155758557,41.5
2079.8662155758557,41.5
2179.8662155758557,41.5
2279.8662155758557,41.5
2379.8662155758557,41.5
2479.8662155758557,41.5
2579.8662155758557,41.5
2679.8662155758557,41.5
2779.8662155758557,41.5
2879.8662155758557,41.5
2979.8662155758557,41.5
3079.8662155758557,41.5
3179.8662155758557,41.5
3279.8662155758557,41.5
3379.8662155758557,41.5
3479.8662155758557,41.5
3579.8662155758557,41.5
3679.8662155758557,41.5
3779.8662155758557,41.5
3879.8662155758557,41.5
3979.8662155758557,41.5
4079.8662155758557,41.5
4179.866215575856,41.5
4279.866215575856,41.5
4379.866215575856,41.5
4479.866215575856,41.5
4579.866215575856,41.5
4679.866215575856,41.5
4779.866215575856,41.5
4879.866215575856,41.5
4979.866215575856,41.5
